Butyrate,Acetate,Lactate,Succinate,OD
6.3575,25.2369,23.7857,23.2164,2.1765
0.6581,46.0416,50.6043,7.1008,2.2605
5.0876,47.7988,47.296,17.5608,2.5225
1.3947,45.1597,49.1702,20.3864,2.3285
2.6554,44.5811,43.5346,16.4742,2.1335
1.0914,39.5491,46.6799,18.9987,2.3695
8.53,28.9448,30.3371,33.4917,2.0335
2.9877,49.0796,60.6975,20.0725,2.6065
4.1656,29.1294,31.4873,14.7399,2.1335
2.5325,43.4804,54.6891,19.7745,2.6085
8.1543,28.2479,29.7826,35.916,2.3335
1.907,55.6606,60.6254,7.037,2.2645
6.1177,48.5125,53.5818,0.2376,1.8585
1.6711,35.0689,43.6503,16.3135,2.1015
1.9796,34.9154,41.329,19.8061,1.9035
11.7658,35.3031,45.6114,8.8839,2.5135
7.9205,35.6865,37.7863,26.2045,2.4605
5.987,41.4428,39.4264,20.1949,2.3165
0.6511,43.7751,47.0598,5.9979,2.1575
3.5539,42.1467,44.063,17.7905,2.7805
2.2538,48.9171,48.7834,0.1857,1.7495
3.7513,33.1311,40.4883,15.5628,1.8895
10.0688,45.2484,41.3405,10.3656,2.3765
2.998,49.5984,52.6519,1.2074,1.9505
1.9005,52.7626,53.5861,10.517,2.0465
4.9195,31.0539,37.2165,23.1077,2.6335
6.5751,38.7222,48.4506,18.3052,2.4355
1.741,54.6435,54.2302,8.3278,2.1235
13.6011,40.3148,32.6397,14.4135,2.3645
5.9362,34.1143,33.8928,25.2778,2.1875
1.2663,33.725,41.092,17.047,1.9445
2.8285,51.7816,55.8214,7.838,2.2995
5.7544,35.2841,39.3796,20.1452,2.4985
2.7696,41.7611,51.573,2.7121,1.6135
3.4377,42.2803,41.3127,14.4343,2.5185
6.3003,42.0379,43.5001,10.1208,2.1445
4.9594,56.5523,46.422,4.2476,2.3795
6.6498,30.2371,29.81,25.2744,2.4885
1.4335,37.9375,41.1272,10.7047,1.8645
3.3004,38.4274,45.6936,17.6983,2.6835
2.5463,31.8437,44.4639,24.3487,2.1035
1.4646,35.9096,40.3529,11.2912,2.3025
6.6872,33.3776,35.6403,21.4314,2.2085
3.8422,40.2922,44.6517,12.6648,2.1105
1.871,44.9821,51.5049,20.8622,2.4415
1.5651,52.0673,54.6938,1.384,1.9945
4.5029,41.9426,42.3234,23.2131,2.7105
11.5993,39.8449,29.6768,21.0799,2.5435
13.8827,33.3836,40.2392,14.4992,2.2325
0.9935,42.8615,50.4141,14.5331,2.0575
5.9995,37.1188,34.7248,28.5753,2.1995
6.3118,37.6163,35.2399,18.9127,2.7635
11.6895,29.3297,25.7227,28.929,2.4125
9.2845,41.6277,50.2308,4.4779,2.5055
10.0841,40.9303,44.2257,13.1571,2.6355
4.516,40.8002,57.1379,23.2157,2.3385
2.3065,47.5476,55.3337,16.5361,2.2385
31.5787,26.8601,21.8526,14.4816,2.37
29.8835,25.5735,20.4844,30.4656,2.475
51.4108,0,0,19.8582,1.9
34.7015,32.0931,15.4195,17.0093,2.449
48.6444,25.1946,0,1.6477,1.641
31.7721,32.5585,18.4661,11.1651,2.384
24.8193,37.8922,29.1732,13.094,2.341
33.4207,27.6367,6.4024,31.8118,2.425
25.7965,28.8859,18.6153,22.4118,2.652
48.0447,19.0241,0,11.8258,2.061
29.124,37.7096,36.9303,12.9479,2.456
23.6872,34.5899,45.8234,0,2.197
50.0723,5.696,0,20.9956,1.503
33.2971,18.1065,16.955,9.9283,2.304
51.3379,13.0029,3.3577,16.1086,1.851
28.9653,35.222,16.3924,28.8461,2.563
26.6043,37.0514,30.9939,10.1203,2.808
34.6949,27.6965,8.5726,21.276,2.239
48.756,22.9046,0,21.6986,2.543
25.2259,38.3448,51.5825,3.7103,2.308
30.6634,31.7525,33.5756,5.5852,2.298
43.5927,32.1551,10.6638,8.9475,2.4
28.0444,42.5051,35.5803,8.3452,2.126
29.3814,19.4192,20.742,21.1539,2.65
28.1922,38.8707,34.8248,11.5078,2.144
45.9789,17.5572,0,17.7899,1.896
27.3262,31.1847,46.2001,7.2122,2.078
45.8717,15.2911,0,13.4349,1.974
44.9962,18.7697,0,18.0106,1.644
31.6772,29.3089,21.5096,8.6224,2.335
29.1386,27.1391,14.112,25.1394,2.846
31.3123,34.367,13.5609,21.7467,2.563
28.2955,28.8199,26,9.1434,2.087
39.007,33.7777,20.9815,3.6083,2.466
46.1544,7.5787,0,27.6472,2.021
43.543,22.962,15.6054,8.2963,2.26
31.3851,25.385,16.2782,27.1561,2.684
44.8995,25.245,0,22.1265,2.124
31.2259,35.9752,34.509,0,2.144
30.0735,24.8618,9.5923,31.7213,2.44
42.5617,14.8695,0,9.9848,2.122
32.6451,33.6638,23.5556,7.8285,2.126
32.8035,29.4025,15.1844,15.6788,2.394
43.2481,17.758,9.9256,13.8957,2.052
40.0254,30.5239,21.4147,12.0618,2.166
35.5752,26.1227,18.0287,16.7027,3.976
37.568,27.7836,25.5533,14.9734,2.237
43.4211,24.4626,2.9193,13.9744,2.041
26.0076,34.9591,24.042,18.4835,2.425
49.9986,13.5355,2.4312,4.5815,1.901
24.694,46.2592,41.7649,6.4749,2.244
32.5153,29.7409,25.6523,8.3139,2.371
45.3958,13.7239,0,17.7583,1.81
25.1062,35.6703,47.0693,8.0882,2.275
49.9568,10.124,0,14.6723,1.725
34.3155,33.4335,17.9341,10.5932,2.369
45.7938,24.6128,0,14.2421,2.243
23.8142,42.2473,36.4016,7.9224,2.186
33.9923,42.0393,27.1541,1.9411,2.215
27.2561,26.292,23.4552,29.8934,2.567
42.0969,16.9517,6.9368,12.7599,1.692
37.262,16.3803,9.9428,18.55,2.547
49.0256,20.1976,0,9.0937,1.958
42.1904,18.2256,0,16.6752,1.878
37.6319,26.4882,13.2538,13.6633,2.253
38.3249,32.6484,11.4248,10.1531,2.357
25.9001,32.2933,43.5776,3.9526,1.911
24.6763,28.9973,34.0716,16.2136,2.477
50.6256,12.6447,0,14.7666,1.704
32.5992,30.5653,5.2338,27.194,2.788
39.9961,10.4597,0,24.7784,1.867
23.9636,32.663,21.0874,26.0499,2.586
37.3524,22.9369,14.5902,20.1153,2.564
44.0689,16.6027,0,24.9342,2.138
40.3704,26.9435,0,21.3031,1.856
45.0371,18.6601,0,8.7349,1.648
29.8512,39.605,32.1596,6.3308,2.265
41.6463,21.5399,8.1295,16.1274,2.23
32.8663,34.0522,30.2692,6.9286,2.322
30.2685,27.164,25.0987,21.8112,2.31
52.6119,8.7224,0,7.506,1.405
55.6934,0,0,11.9491,1.589
48.7413,12.2191,13.1906,9.3637,1.82
50.7567,11.3021,0,23.5858,1.767
39.3213,15.951,13.361,12.6261,1.863
31.8956,31.7127,23.7893,6.4541,2.116
23.8754,35.9,32.0101,4.6972,2.094
29.8604,36.2284,22.43,16.3051,2.198
25.5181,40.4877,30.0671,12.5827,2.226
36.6116,21.4943,13.428,14.6718,2.847
25.3023,21.1672,17.1192,25.3408,2.5
45.0974,14.5561,0,18.0411,2.015
32.1074,31.8659,19.0253,15.8217,2.592
50.4045,25.3916,1.0437,1.4576,1.918
29.3188,40.5548,24.1245,11.0696,2.543
27.6526,37.8887,26.1194,12.4262,2.538
32.939,25.3243,0,32.1379,2.539
28.1239,26.3581,17.8412,17.6658,2.633
43.4594,16.9126,0,10.9674,2.561
28.2949,35.2455,38.0865,9.195,2.411
24.3062,33.2394,37.3057,3.4274,2.023
50.3544,6.2799,0,17.2935,1.757
37.52,26.6674,21.5857,10.3684,2.283
48.1753,16.3635,0,15.2417,2.047
27.0126,37.7238,19.3574,24.8859,2.626
30.9247,32.0428,22.4801,9.8093,2.546
33.8097,27.7672,11.8215,18.5294,2.251
42.5973,22.4442,0,20.1397,2.501
25.3863,36.292,37.7878,0,2.332
30.8401,32.8402,33.1045,5.1478,2.508
36.2982,36.0281,21.0615,7.6789,2.663
23.3715,35.4403,25.4541,6.6275,2.279
31.3091,23.4132,22.2794,19.6999,2.969
26.5912,33.17,29.2975,10.0942,2.301
45.1444,18.544,0,17.3856,1.962
26.0859,29.2679,32.4504,7.4468,1.959
45.6186,14.6749,0,13.0569,2.135
43.2683,18.3786,0,16.258,1.891
32.7227,31.2598,20.3659,7.5324,2.341
31.882,41.1803,21.1718,25.083,2.669
31.4229,32.6345,15.542,14.213,2.689
25.2311,24.0631,16.3337,5.7916,2.335
45.3387,26.9374,5.8568,3.0761,2.651
43.4513,8.4167,0,23.9047,1.921
39.506,24.486,12.4868,9.204,2.323
34.1577,28.9969,14.7436,24.865,2.777
45.6942,34.9265,0,25.6389,2.403
29.4321,36.8915,32.6289,0,2.414
30.025,26.5957,13.7844,27.2011,2.37
48.5364,10.7133,0,7.9269,1.774
35.8759,20.521,8.6707,8.7422,2.526
